ID,timestamp,timeInterval,Energy,NodeID,RootNodeID
133300,1769295668.0,86400.0,2449,10368,8
133301,1769295668.0,3600.0,108,10365,8
133302,1769295668.0,86400.0,203,10365,8
133303,1769295668.0,3600.0,5601.815661,10482,8
133304,1769295668.0,86400.0,10060,10482,8
133305,1769295668.0,3600.0,30,8,8
133306,1769295668.0,86400.0,117,8,8
133307,1769295668.0,3600.0,595,10074,8
133308,1769295668.0,86400.0,927,10074,8
133309,1769295668.0,3600.0,92,10378,56
133310,1769295668.0,86400.0,92,10378,56
133311,1769295668.0,86400.0,27718.999996,10376,11
133312,1769295668.0,3600.0,93,10361,11
133313,1769295668.0,86400.0,93,10361,11
133314,1769295668.0,3600.0,9967,10586,11
133315,1769295668.0,86400.0,23579.000001,10586,11
133316,1769295668.0,3600.0,601,10798,11
133317,1769295668.0,86400.0,2818,10798,11
133318,1769295668.0,3600.0,241,10442,11
133319,1769295668.0,86400.0,617,10442,11
133320,1769295668.0,3600.0,1727,10376,11
133321,1769295668.0,3600.0,5123,10406,11
133322,1769295668.0,86400.0,5123,10406,11
133323,1769295668.0,3600.0,31,10357,11
133324,1769295668.0,86400.0,126,10357,11
133325,1769295668.0,3600.0,31,10435,11
133326,1769295668.0,86400.0,31,10435,11
133327,1769295668.0,3600.0,2941,10586,50
133328,1769295668.0,86400.0,3018,10586,50
133329,1769295668.0,3600.0,3867,53,53
133330,1769295668.0,86400.0,21050,53,53
133331,1769295668.0,3600.0,2939,10586,37
133332,1769295668.0,86400.0,2939,10586,37
133333,1769295668.0,3600.0,98,10367,56
133334,1769295668.0,86400.0,98,10367,56
133335,1769295668.0,86400.0,16390,10482,54
133336,1769295668.0,86400.0,2585,10010,54
133337,1769295668.0,3600.0,4702,10798,54
133338,1769295668.0,86400.0,4737,10798,54
133339,1769295668.0,86400.0,277,10368,15
133340,1769299268.0,3600.0,4422.132446,10482,15
133341,1769299268.0,3600.0,277,10368,15
133342,1769295668.0,3600.0,2452,10010,54
133343,1769295668.0,3600.0,1543,16592,54
133344,1769295668.0,86400.0,1543,16592,54
133345,1769295668.0,3600.0,4069.691382,10482,54
133346,1769299268.0,3600.0,1895.499106,55,55
133347,1769295668.0,3600.0,226,15284,11
133348,1769295668.0,86400.0,5288.999999,15284,11
133349,1769299268.0,3600.0,1358,10368,55
133350,1769295668.0,86400.0,1358,10368,55
133351,1769299268.0,3600.0,36,56,56
133352,1769299268.0,3600.0,35874.297397,10482,56
133353,1769295668.0,3600.0,681,11450,60
133354,1769295668.0,86400.0,681,11450,60
